class	condition	object	pos	value
A	C	11	22.2222222222	0.0
B	C	34	22.2222222222	0.0
B	C	35	22.2222222222	0.0
A	C	10	22.2222222222	0.0
B	C	30	22.2222222222	0.0
C	A	52	22.2222222222	4.2879637236
C	A	57	22.2222222222	6.53327017289
B	A	24	22.2222222222	0.0
C	A	44	22.2222222222	0.992180358328
B	A	15	22.2222222222	0.0
C	A	51	22.2222222222	4.58121601077
B	A	27	22.2222222222	1.22588137605
C	B	52	22.2222222222	5.75014637145
C	B	57	22.2222222222	1.24345400102
B	B	24	22.2222222222	0.0
C	B	44	22.2222222222	3.31880532242
B	B	15	22.2222222222	0.0
C	B	51	22.2222222222	4.72927975823
B	B	27	22.2222222222	0.374744604743
C	C	52	22.2222222222	2.03003867949
C	C	57	22.2222222222	1.48694137694
B	C	24	22.2222222222	0.0
C	C	44	22.2222222222	1.44494423695
B	C	15	22.2222222222	0.0
C	C	51	22.2222222222	0.908543938187
B	C	27	22.2222222222	0.0
C	A	45	22.2222222222	1.69022666063
C	A	49	22.2222222222	0.988412025725
C	A	53	22.2222222222	3.10509588796
B	A	23	22.2222222222	0.399316586722
C	A	41	22.2222222222	0.0
C	A	40	22.2222222222	0.833349983377
C	A	48	22.2222222222	2.88818232717
C	B	45	22.2222222222	0.264083584883
C	B	49	22.2222222222	3.44737342262
C	B	53	22.2222222222	5.60928942056
B	B	23	22.2222222222	1.11849129693
C	B	41	22.2222222222	0.0
C	B	40	22.2222222222	1.20732503005
C	B	48	22.2222222222	2.67198035752
C	C	45	22.2222222222	0.450814819155
C	C	49	22.2222222222	3.06313632003
C	C	53	22.2222222222	3.06313632003
B	C	23	22.2222222222	0.805687852586
C	C	41	22.2222222222	0.0
C	C	40	22.2222222222	0.284729692261
C	C	48	22.2222222222	0.958894629885
A	A	4	22.2222222222	0.0
B	A	32	22.2222222222	0.402927326153
B	A	37	22.2222222222	0.656388364598
B	A	36	22.2222222222	0.0
B	A	31	22.2222222222	0.655142966212
B	A	26	22.2222222222	0.0
A	B	4	22.2222222222	0.0
B	B	32	22.2222222222	0.181088553204
B	B	37	22.2222222222	3.14553203725
B	B	36	22.2222222222	0.0155261147212
B	B	31	22.2222222222	0.277346845846
B	B	26	22.2222222222	0.0
A	C	4	22.2222222222	0.0
B	C	32	22.2222222222	0.00219123154774
B	C	37	22.2222222222	2.31498503581
B	C	36	22.2222222222	0.0130863061364
B	C	31	22.2222222222	1.02141505342
B	C	26	22.2222222222	0.0
A	A	0	22.2222222222	0.0
B	A	21	22.2222222222	1.28255367408
C	A	55	22.2222222222	6.12349373228
C	A	42	22.2222222222	0.864284021691
B	A	38	22.2222222222	0.224207014437
A	A	14	22.2222222222	0.0
A	A	1	22.2222222222	0.785260937474
A	B	0	22.2222222222	0.0
B	B	21	22.2222222222	0.0
C	B	55	22.2222222222	5.64614819557
C	B	42	22.2222222222	4.54340660927
B	B	38	22.2222222222	1.00863747558
A	B	14	22.2222222222	0.0
A	B	1	22.2222222222	3.50880626467
A	C	0	22.2222222222	0.0
B	C	21	22.2222222222	1.14505003172
C	C	55	22.2222222222	0.0
C	C	42	22.2222222222	2.41490187957
B	C	38	22.2222222222	1.1025358582
A	C	14	22.2222222222	0.0
A	C	1	22.2222222222	1.06012072745
B	A	29	22.2222222222	0.0
B	A	16	22.2222222222	0.0
C	A	58	22.2222222222	5.38543103719
B	A	28	22.2222222222	0.0
B	A	25	22.2222222222	0.0
A	A	8	22.2222222222	1.15042449882
B	B	29	22.2222222222	0.0
B	B	16	22.2222222222	0.0
C	B	58	22.2222222222	1.0
B	B	28	22.2222222222	0.0
B	B	25	22.2222222222	0.0
A	B	8	22.2222222222	0.654397044022
B	C	29	22.2222222222	0.0
B	C	16	22.2222222222	0.0
C	C	58	22.2222222222	0.0
B	C	28	22.2222222222	0.0
B	C	25	22.2222222222	0.0
A	C	8	22.2222222222	0.653442544341
C	A	50	22.2222222222	4.11285748634
B	A	39	22.2222222222	0.109545105575
B	A	20	22.2222222222	1.86323714606
C	A	56	22.2222222222	4.74635662713
A	A	13	22.2222222222	0.641162184156
A	A	3	22.2222222222	0.0
A	A	6	22.2222222222	0.0
C	B	50	22.2222222222	1.0
B	B	39	22.2222222222	1.46758729213
B	B	20	22.2222222222	0.528409287868
C	B	56	22.2222222222	5.75014637145
A	B	13	22.2222222222	0.769486556678
A	B	3	22.2222222222	0.0
A	B	6	22.2222222222	2.32192809489
C	C	50	22.2222222222	1.0
B	C	39	22.2222222222	1.5954024487
B	C	20	22.2222222222	1.69745624938
C	C	56	22.2222222222	3.06313632003
A	C	13	22.2222222222	2.13716379465
A	C	3	22.2222222222	0.0
A	C	6	22.2222222222	2.07972728555
C	A	54	33.3333333333	5.5157721762
B	A	17	33.3333333333	0.0
C	A	46	33.3333333333	1.28649854637
C	A	59	33.3333333333	6.53327017289
B	A	19	33.3333333333	0.0
C	B	54	33.3333333333	3.68817006158
